NamaBlok,JenisTanah,JenisDataran,KondisiDataran,PHTanah,KelasDrainase,Pruning,Pengendalianlalang,GarukPiringan,PenyemprotanPiringan,BTP,BabatSemak,Urea(kg),MOP(kg),Dolomite(kg),ZincSulphate(ZnSO4)(kg),CopperSulphate(CuSO4)(kg),RockPhosphate(kg),NPK,HGFP,TSP,JenisBibit
9S17A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
10S17A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
11S17A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
12S17A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
13S17A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
14S17A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
15S17A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
16S17A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
17S17A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
1S18A120,Pasir,DataranRendah,Datar,6,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
2T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
3T10A120,Pasir,Rawa-rawa,Datar,9,Terhambat,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
4T10A120,Pasir,Rawa-rawa,Datar,9,Terhambat,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
7T10A120,Pasir,Rawa-rawa,Datar,9,Terhambat,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
8T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
9T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
10T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
11T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
12T10A120,Pasir,Rawa-rawa,Datar,9,Sedang,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
13T10A120,Pasir,Rawa-rawa,Datar,9,Sedang,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
16T10A120,Pasir,Rawa-rawa,Datar,9,Sedang,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
17T10A120,Pasir,Rawa-rawa,Datar,9,Sedang,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
18T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
18T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
20T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
21T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
22T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
24T10A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
1S20C120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
2S20C120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
3S20C120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
4S20C120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
5S20C120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
2T12A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
3T12A120,Pasir,Rawa-rawa,Datar,9,Sedang,0.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
4T12A120,Pasir,Rawa-rawa,Datar,9,Sedang,0.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
6T12A120,Pasir,Rawa-rawa,Datar,9,Sedang,0.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
7T12A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
8T12A120,Pasir,Rawa-rawa,Datar,9,Lancar,0.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
9T12A120,Pasir,Rawa-rawa,Datar,9,Terhambat,0.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
S24A120,Mineral,DataranRendah,Miring,5,TidakAda,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,ASD
1S25A120,Mineral,DataranRendah,Miring,8,TidakAda,1.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,ASD
2S25A120,Mineral,DataranRendah,Miring,9,TidakAda,1.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,ASD
3S25A120,Mineral,DataranRendah,Miring,10,TidakAda,1.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,ASD
2S26A120,Mineral,DataranRendah,Miring,8,TidakAda,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,ASD
5S26A120,Mineral,DataranRendah,Miring,8,TidakAda,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,ASD
6S26A120,Mineral,DataranRendah,Miring,8,TidakAda,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,ASD
1R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
4R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
5R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
6R25A120,Mineral,DataranRendah,Miring,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
7R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
8R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
9R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
10R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
2R25A120,Mineral,DataranRendah,Datar,11,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
S23A120,Mineral,DataranRendah,Miring,10,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,SRJ
1S11A120,Pasir,Rawa-rawa,Datar,2,Terhambat,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
2S11A120,Pasir,Rawa-rawa,Datar,3,Terhambat,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
3S11A120,Pasir,Rawa-rawa,Datar,4,Terhambat,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
9S11A120,Pasir,Rawa-rawa,Datar,5,Sedang,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
10S11A120,Pasir,Rawa-rawa,Datar,6,Sedang,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
11S11A120,Pasir,Rawa-rawa,Datar,7,Sedang,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
12S11A120,Pasir,Rawa-rawa,Datar,8,Sedang,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
13S11A120,Pasir,Rawa-rawa,Datar,9,Lancar,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
14S11A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
15S11A120,Pasir,Rawa-rawa,Datar,11,Lancar,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
1S12B120,Pasir,Rawa-rawa,Datar,5,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
2S12B120,Pasir,Rawa-rawa,Datar,5,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
3S12B120,Pasir,Rawa-rawa,Datar,5,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
5S12B120,Pasir,Rawa-rawa,Datar,5,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
6S12B120,Pasir,Rawa-rawa,Datar,5,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
8S12B120,Pasir,Rawa-rawa,Datar,5,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
9S12B120,Pasir,Rawa-rawa,Datar,5,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
10S12B120,Pasir,Rawa-rawa,Datar,5,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
11S12B120,Pasir,Rawa-rawa,Datar,5,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
12S12B120,Pasir,Rawa-rawa,Datar,5,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,ASD
18Q23A120,Mineral,Rawa-rawa,Datar,7,Terhambat,1.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
1R20A120,Mineral,DataranRendah,Miring,9,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
2R20A120,Mineral,DataranRendah,Datar,9,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
3R20A120,Mineral,DataranRendah,Datar,9,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
4R20A120,Mineral,DataranRendah,Datar,9,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
1R23A120,Mineral,DataranRendah,Datar,10,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
2R23A120,Mineral,DataranRendah,Miring,10,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
3R23A120,Mineral,DataranRendah,Miring,10,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
4R23A120,Mineral,DataranRendah,Miring,10,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
5R23A120,Mineral,DataranRendah,Datar,10,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
6R23A120,Mineral,DataranRendah,Datar,10,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
7R23A120,Mineral,DataranRendah,Datar,10,TidakAda,0.00,2.00,1.00,2.00,0.00,1.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,SRJ
1S10A120,Pasir,Rawa-rawa,Datar,10,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
2S10A120,Pasir,Rawa-rawa,Datar,10,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
3S10A120,Pasir,Rawa-rawa,Datar,10,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
4S10A120,Pasir,Rawa-rawa,Datar,10,Sedang,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
5S10A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
6S10A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
7S10A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
8S10A120,Pasir,Rawa-rawa,Datar,10,Terhambat,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
9S10A120,Pasir,Rawa-rawa,Datar,10,Terhambat,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
10S10A120,Pasir,Rawa-rawa,Datar,10,Terhambat,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
11S10A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
12S10A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
13S10A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
14S10A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,2.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
1R14B120,Pasir,DataranRendah,Miring,7,TidakAda,1.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
2R14B120,Pasir,DataranRendah,Datar,7,TidakAda,1.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
3R14B120,Pasir,DataranRendah,Datar,7,TidakAda,1.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
4R14B120,Pasir,DataranRendah,Datar,7,TidakAda,1.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
1S13A120,Pasir,Rawa-rawa,Datar,10,Terhambat,1.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
2S13A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
3S13A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
4S13A120,Pasir,Rawa-rawa,Datar,10,Lancar,1.00,1.00,1.00,2.00,0.00,1.00,1.00,1.50,0.00,0.05,0.05,0.75,0.00,0.00,0.00,SRJ
